category,algorithm,language,time_s,energy_j,power_w,std_time_s,std_energy_j,std_power_w,n_runs,sem_time_s,sem_energy_j,sem_power_w,cv_time_pct,cv_energy_pct,platform,edp,aei,n_energy_local,n_time_local,ges_local,ges_global,rank_in_category,rank_in_algorithm,rank_in_cat_algo
floating_point,gaussian_elimination,c,0.0022729296,0.0061816494,2.7198355,3.92379064375254e-05,0.0001111591014239,0.0337047579372869,10,1.240811549591636e-05,3.515159431573163e-05,0.0106583803066465,1.7263141998557896,1.7982110312490374,arm,1.405045389808224e-05,71172.07794521791,6.156475213547513e-05,5.742435324450389e-05,5.949455268998951e-05,4.603520243356716e-05,5.0,2.0,2.0
floating_point,gaussian_elimination,cpp,0.002267985,0.0061195925999999,2.6981712,2.6827571306814657e-05,0.000185654206084,0.0724558601445658,10,8.48362294201142e-06,5.870901484159914e-05,0.0229125547883445,1.182881337699088,3.0337674126229066,arm,1.3879144222910773e-05,72050.55181639125,5.498685989838568e-05,5.610225548722036e-05,5.5544557692803026e-05,4.4068383708534604e-05,3.0,1.0,1.0
floating_point,gaussian_elimination,go,0.0028063823,0.0075806633,2.7012079,4.227270101784874e-05,0.0001988671960681,0.0573952136127705,10,1.3367801806372015e-05,6.288732914666607e-05,0.0181499601808256,1.50630585924978,2.623348224266311,arm,2.127423930737959e-05,47005.20594657036,0.00020985732720179084,0.00020006008076277551,0.00020495870398228318,0.00014678987957877492,10.0,4.0,4.0
floating_point,gaussian_elimination,java,0.0350582979,0.0956953097,2.7301302,0.0014285110327762,0.0047464278884533,0.0913698415851143,10,0.0004517348526252,0.0015009522877256,0.028893680885773,4.074673096939588,4.959937852056905,arm,0.0033549146750953595,298.07017371360604,0.009549827298703763,0.00882364647457781,0.009186736886640786,0.006312615386668045,12.0,5.0,5.0
floating_point,gaussian_elimination,rust,0.0024630725,0.0066730826,2.7093404,2.3592862311630453e-05,0.0001018099340516,0.0395459707434834,10,7.460718142749749e-06,3.219512800347284e-05,0.0125055339831789,0.957863088140136,1.5256807109152757,arm,1.6436286242288498e-05,60840.99444722043,0.0001136556532345133,0.00010826516982286957,0.00011096041152869144,8.179590980016038e-05,8.0,3.0,3.0
floating_point,matrix_multiplication,c,0.0553349554,0.1396959138,2.5244758000000003,0.0006911942406511,0.0037743898595556,0.0566513017753735,10,0.0002185748106048,0.0011935668733639,0.017914714602372,1.249109601073593,2.701861319264797,arm,0.0077300671596852435,129.36498213305543,0.01421380017735957,0.014245262663138329,0.01422953142024895,0.009949240510951364,15.0,5.0,5.0
floating_point,matrix_multiplication,cpp,0.0028025767,0.0076355815999999,2.72441,2.9423294026067924e-05,0.0002235191768065,0.0711208832919151,10,9.304462538720032e-06,7.068296994345013e-05,0.0224903980405465,1.0498657905087103,2.9273366262829983,arm,2.1399303083108442e-05,46730.49379768591,0.00021567855322767208,0.00019904253126936484,0.00020736054224851846,0.00014743668089758257,11.0,3.0,3.0
floating_point,matrix_multiplication,go,0.0026034707,0.0070357775,2.7024616000000004,4.646243532874464e-05,0.0001304228287176,0.0138301799152754,10,1.4692712127710722e-05,4.124331976298977e-05,0.0043734868982185,1.7846344623254118,1.85370882916186,arm,1.831744057296925e-05,54592.77981639443,0.00015210056124037363,0.00014580514178150021,0.00014895285151093692,0.00010819739828184322,9.0,2.0,2.0
floating_point,matrix_multiplication,java,0.0429686714,0.1157659028,2.6940228,0.000237149498131,0.0033257120978455,0.0692236637875934,10,7.499325600600511e-05,0.0010516825071168,0.0218904445550513,0.5519125688654133,2.8727907072872365,arm,0.00497430703673754,201.03302683460052,0.011677268587104994,0.0109387391137448,0.011308003850424898,0.007792469027502482,13.0,4.0,4.0
floating_point,matrix_multiplication,rust,0.0022723592,0.0062668546999999,2.7597956,0.0001536364869321,0.0004139191586841,0.1096453531306983,10,4.8584123041220415e-05,0.0001308927308622,0.034672905074648,6.761100398745196,6.604894775749997,arm,1.4240544932608012e-05,70222.03186271328,7.05963374158523e-05,5.727183846863631e-05,6.393408794224431e-05,4.775180472471297e-05,6.0,1.0,1.0
