category,algorithm,language,time_s,energy_j,power_w,std_time_s,std_energy_j,std_power_w,n_runs,sem_time_s,sem_energy_j,sem_power_w,cv_time_pct,cv_energy_pct
floating_point,gaussian_elimination,c,0.0022729296,0.0061816494,2.7198355,3.92379064375254e-05,0.00011115910142393992,0.03370475793728695,10,1.2408115495916359e-05,3.515159431573163e-05,0.010658380306646538,1.7263141998557896,1.7982110312490374
floating_point,gaussian_elimination,cpp,0.002267985,0.006119592599999999,2.6981712,2.6827571306814657e-05,0.00018565420608408282,0.07245586014456588,10,8.48362294201142e-06,5.8709014841599144e-05,0.022912554788344513,1.1828813376990879,3.0337674126229066
floating_point,gaussian_elimination,go,0.0028063823,0.0075806633,2.7012079,4.227270101784874e-05,0.00019886719606815792,0.05739521361277059,10,1.3367801806372017e-05,6.288732914666607e-05,0.01814996018082565,1.50630585924978,2.623348224266311
floating_point,gaussian_elimination,java,0.0350582979,0.0956953097,2.7301302,0.0014285110327762365,0.004746427888453383,0.09136984158511435,10,0.0004517348526252352,0.0015009522877256305,0.02889368088577309,4.074673096939588,4.959937852056905
floating_point,gaussian_elimination,rust,0.0024630725,0.0066730826,2.7093404,2.3592862311630453e-05,0.00010180993405164355,0.0395459707434834,10,7.460718142749749e-06,3.219512800347284e-05,0.012505533983178985,0.9578630881401361,1.5256807109152757
floating_point,matrix_multiplication,c,0.0553349554,0.1396959138,2.5244758000000003,0.0006911942406511905,0.0037743898595556935,0.05665130177537351,10,0.00021857481060483063,0.0011935668733639036,0.017914714602372088,1.249109601073593,2.701861319264797
floating_point,matrix_multiplication,cpp,0.0028025767,0.007635581599999999,2.7244099999999998,2.9423294026067924e-05,0.00022351917680652535,0.07112088329191511,10,9.304462538720032e-06,7.068296994345013e-05,0.022490398040546568,1.0498657905087103,2.9273366262829983
floating_point,matrix_multiplication,go,0.0026034707,0.0070357775,2.7024616000000004,4.6462435328744634e-05,0.00013042282871768358,0.013830179915275497,10,1.4692712127710722e-05,4.124331976298977e-05,0.004373486898218511,1.7846344623254118,1.8537088291618602
floating_point,matrix_multiplication,java,0.0429686714,0.11576590280000001,2.6940228,0.0002371494981310781,0.003325712097845575,0.06922366378759344,10,7.499325600600511e-05,0.0010516825071168778,0.021890444555051354,0.5519125688654133,2.8727907072872365
floating_point,matrix_multiplication,rust,0.0022723592,0.0062668546999999995,2.7597956,0.00015363648693212314,0.00041391915868414314,0.1096453531306983,10,4.8584123041220415e-05,0.0001308927308622556,0.03467290507464803,6.761100398745196,6.604894775749997
floating_point,monte_carlo_pi,c,3.7420236646,9.4397474866,2.5226317000000003,9.435660018619293e-05,0.19148094897222068,0.05116536976434577,10,2.9838176885823742e-05,0.06055159272826948,0.01617991057800453,0.0025215393766431214,2.0284541429104275
floating_point,monte_carlo_pi,cpp,3.7420053767,9.3925700882,2.5100358,8.513634881893202e-05,0.22248091536433864,0.05942140082832089,10,2.692247739384113e-05,0.070354642847046,0.018790696837531,0.002275153032890938,2.368690499779652
floating_point,monte_carlo_pi,go,0.28056122559999996,0.7125893772999999,2.5398712,0.00011002372149593959,0.031154708298174676,0.11106178847210334,10,3.479255565751972e-05,0.00985198380603802,0.03512082125836784,0.03921558342948,4.372042201389504
floating_point,monte_carlo_pi,java,1.5788577205999998,4.0328372609,2.5542683,0.0009579060996504715,0.12017956764923281,0.07584495055345193,10,0.00030291650594637114,0.03800411619858633,0.023984279277175637,0.06067083101613783,2.9800252247821324
floating_point,monte_carlo_pi,rust,0.0022239685,0.0060513863,2.7215336999999997,3.900963742817652e-05,0.00011616731679019407,0.062299989588103295,10,1.2335930497039086e-05,3.6735331072733376e-05,0.019700986530318168,1.7540553037588673,1.9196810620104365
floating_point,newton_raphson,c,0.7472084208,1.8815470027,2.5181041,9.894520525333696e-05,0.040595211583085634,0.05443304712202768,10,3.128922121534024e-05,0.012837333069900033,0.017213240888888082,0.01324198208946857,2.157544378366947
