category,algorithm,language,time_s,energy_j,power_w,std_time_s,std_energy_j,std_power_w,n_runs,sem_time_s,sem_energy_j,sem_power_w,cv_time_pct,cv_energy_pct
floating_point,gaussian_elimination,c,0.002270514,0.19941979999999998,87.9275842,9.757545910729789e-05,0.014719741489275927,6.682752541466541,10,3.085606945156813e-05,0.004654790967499089,2.11327190703131,4.2975052832661635,7.381283849084157
floating_point,gaussian_elimination,cpp,0.0023922685,0.20603600000000002,86.61547759999999,0.0002310954378819134,0.010240603443591043,6.818875043443497,10,7.307879405808042e-05,0.003238363149631133,2.1563176217361057,9.660096175739195,4.970298124401095
floating_point,gaussian_elimination,go,0.0025846643,0.21406160000000002,82.8569354,0.00011699945513837993,0.014218518817998509,4.960084526353764,10,3.6998476323597136e-05,0.004496290441884039,1.5685164490235364,4.526678963236344,6.642255695556096
floating_point,gaussian_elimination,java,0.025271474300000003,0.6991683,27.688584100000003,0.0009659163984095394,0.020230270454884628,0.9442558499854032,10,0.0003054495848280786,0.006397373231864605,0.2985999179892145,3.822160855924181,2.8934764998476945
floating_point,gaussian_elimination,rust,0.002558452,0.2086362,81.8169073,0.00020767638308622817,0.013063611409815684,5.8338662774347,10,6.567303867781496e-05,0.004131076652238088,1.8448305001541414,8.117267124269995,6.261430858985969
floating_point,matrix_multiplication,c,0.0172619553,0.5308946999999999,30.7601082,0.00021054988126968308,0.013925862519068601,0.9179739481718311,10,6.658171858902234e-05,0.004403744394262678,0.2902888508920347,1.2197336721737606,2.623093151818732
floating_point,matrix_multiplication,cpp,0.002635133,0.20167799999999997,76.7639106,0.0002697626404535001,0.014812703376944174,3.9163963880935264,10,8.530643714541381e-05,0.004684188097561127,1.2384732806432288,10.237154650391465,7.344729408732819
floating_point,matrix_multiplication,go,0.0027327391,0.2091424,79.22229300000001,0.0008012712233222422,0.019706773348831676,11.217782432311704,10,0.00025338420892477147,0.0062318289115012,3.5473742782328603,29.32117534828854,9.422658126153125
floating_point,matrix_multiplication,java,0.0315932571,0.8255597,26.1244142,0.0010142317716929534,0.08268495712179655,2.4704527802118825,10,0.00032072824738576226,0.026147279273823754,0.7812257637364899,3.2102792329473164,10.015624202804055
floating_point,matrix_multiplication,rust,0.0021590609,0.2072137,96.0013833,7.115983774019666e-05,0.013269874512091915,5.750222475986953,10,2.2502716518703062e-05,0.004196302772282603,1.8183800076811645,3.2958698728783737,6.403956163174499
floating_point,monte_carlo_pi,c,1.1881131925,15.0487042,12.6659747,0.00172144773599132,0.49321688335092556,0.41254520696930236,10,0.0005443695718672785,0.15596887318385053,0.13045824918085652,0.14488920305388497,3.277470782839399
floating_point,monte_carlo_pi,cpp,1.1889023411,15.0214277,12.6346592,0.0017130431502937803,0.39857099606581975,0.33366104338445,10,0.0005417118085078484,0.12603921568500007,0.10551288635631187,0.14408611128722593,2.653349628449896
floating_point,monte_carlo_pi,go,0.1273607095,2.4772033,19.4281337,0.0014562617694405967,0.35920730487407965,2.7047241621290468,10,0.0004605104060859274,0.11359132355725941,0.8553088794818322,1.1434152456889357,14.500517776400493
floating_point,monte_carlo_pi,java,1.9952665810999999,23.7680118,11.9112602,0.016269503442898393,0.5738125745221462,0.22233994667215737,10,0.0051448687279510115,0.1814554685535086,0.0703100646324392,0.8154049988613019,2.41422201970695
floating_point,monte_carlo_pi,rust,0.002190272,0.20097,91.8524868,0.00013528284534674426,0.014086286546377889,5.454816971965843,10,4.2780191964402314e-05,0.004454474926034119,1.7249645850754909,6.176531743397361,7.009148901019002
floating_point,newton_raphson,c,0.5246650442,6.3297140999999995,12.0677468,0.009506408870017422,0.38165443899639834,0.7392522417881765,10,0.0030061904398082616,0.1206897306342406,0.23377208494361437,1.8119005592439699,6.02956836544005
floating_point,newton_raphson,cpp,0.0020200007,0.20034710000000003,99.5731179,0.00010404562864868463,0.015247996199501098,10.650568375090625,10,3.290211671139105e-05,0.004821839774401467,3.3680054440644915,5.150771910558478,7.610789574444101
floating_point,newton_raphson,go,0.0320012644,0.7584514,23.746857900000002,0.0018550726491573311,0.022931048152619992,1.0489249372158198,10,0.0005866254796419602,0.007251434129727558,0.3316991896151107,5.796872979673051,3.023403760955546
floating_point,newton_raphson,java,0.5559739589,6.6468214,11.9549846,0.001695981293232871,0.3762478618606503,0.6719584576648898,10,0.0005363163755653785,0.11898002082480527,0.21249192192348806,0.3050468940287036,5.660568250873271
floating_point,newton_raphson,rust,0.0024011704000000004,0.20396070000000002,85.6785571,0.0002986137817818267,0.011962927921523045,8.076008259020192,10,9.442996911470659e-05,0.003783009971643687,2.5538580500834875,12.436176198983073,5.8653102884639265
floating_point,numerical_integration,c,0.11256702240000001,2.5013365,22.2218244,0.0007191841670760948,0.014882752741568707,0.2120753659402978,10,0.00022742600250915377,0.004706339651647242,0.06706411919850377,0.6388941909829666,0.5949920269251541
floating_point,numerical_integration,cpp,0.1118333006,2.5177427000000003,22.5153488,0.0009420149483033391,0.021907042033961977,0.3197709608342261,10,0.000297891282656432,0.006927614962436761,0.1011204565816651,0.8423385013670419,0.8701064661596268
floating_point,numerical_integration,go,0.0750039767,1.7038895,22.7218803,0.0008705311980980423,0.021588464590815374,0.4952999926785217,10,0.0002752861360225053,0.006826871929287154,0.1566276101928851,1.1606467235463829,1.2670108355509775
floating_point,numerical_integration,java,0.5339528252,6.787671899999999,12.7107268,0.0016852337920631995,0.35618342460013197,0.6390449181379625,10,0.0005329177172802299,0.11263508865352656,0.20208374684718095,0.3156147345848334,5.247505033355133
floating_point,numerical_integration,rust,0.0021869025,0.2014887,92.1699239,7.554570084135238e-05,0.01234038107686396,5.309187287704974,10,2.3889648209237216e-05,0.003902371139733151,1.6789124353559388,3.4544613141807825,6.1246020629762175
integer_and_control_flow_intensive,josephus_problem,c,0.0024707547999999998,0.2062007,83.4783001,8.432474514083426e-05,0.015632238874624876,6.038162278876235,10,2.666582577582523e-05,0.004943347977164193,1.9094345682961709,3.412914350741493,7.581079440867502
integer_and_control_flow_intensive,josephus_problem,cpp,0.0024721687999999997,0.2140863,86.72073900000001,9.654441040934938e-05,0.018902981046796725,8.510622182682674,10,3.053002322516131e-05,0.005977647467487157,2.691295040243087,3.9052515511622587,8.829607988365778
integer_and_control_flow_intensive,josephus_problem,go,0.0023943382,0.20612750000000002,86.3844875,0.00014589272093928018,0.010368991306883341,6.827383655149268,10,4.613532922074652e-05,0.0032789629568237316,2.1590082810077265,6.093237828276732,5.030377463891689
integer_and_control_flow_intensive,josephus_problem,java,0.0232774067,0.6518355,28.011615499999998,0.0006842001691443243,0.016019823991611844,0.5880476213057823,10,0.00021636309099685232,0.0050659131528503565,0.18595698559704302,2.9393315929146193,2.457648285742621
integer_and_control_flow_intensive,josephus_problem,rust,0.0024228731,0.2059321,85.0469289,0.00013303866557880405,0.011791854151159704,3.606372804314432,10,4.20705200098464e-05,0.0037289116954176095,1.1404352153322317,5.490946495662693,5.726088429710425
