category,algorithm,language,run,status,time_s,energy_j,dynamic_energy_j,power_w,idle_power_w,domain,energy_path,exit_code
string_and_text_processing,sha1_pure_implementation,cpp,3,OK,0.010946865,0.36859,0.301054411,33.670827,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,4,OK,0.010778663,0.417418,0.350920116,38.726324,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,5,OK,0.011491943,0.381163,0.310264607,33.167846,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,6,OK,0.011071818,0.371336,0.303029526,33.538846,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,7,OK,0.010992252,0.364074,0.296258401,33.120966,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,8,OK,0.011160526,0.377501,0.308647251,33.82466,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,9,OK,0.010656091,0.407531,0.341789312,38.243949,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,10,OK,0.011206577,0.388,0.318862144,34.622526,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,1,OK,0.192419663,4.129933,2.942819131,21.463155,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,2,OK,0.19336712,4.132314,2.93935489,21.370303,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,3,OK,0.178384415,4.039785,2.93926019,22.646513,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,4,OK,0.189379345,3.990957,2.822600069,21.073877,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,5,OK,0.20051223,4.218984,2.981943848,21.041031,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,6,OK,0.190121215,4.049245,2.876311176,21.298228,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,7,OK,0.194675165,4.174123,2.973094037,21.441477,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,8,OK,0.197478631,4.242665,3.024340334,21.484173,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,9,OK,0.194091224,4.21935,3.021923603,21.739005,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,c,10,OK,0.180396065,3.946218,2.833282517,21.8753,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,1,OK,0.648233143,9.616248,5.617038448,14.834552,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,2,OK,0.652997193,10.717624,6.689023118,16.412971,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,3,OK,0.651966041,10.016331,5.994091707,15.363271,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,4,OK,0.652745974,11.04587,7.018818988,16.922157,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,5,OK,0.677367562,11.028353,6.849401563,16.281194,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,6,OK,0.659639829,10.823215,6.753633039,16.407765,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,7,OK,0.655498043,10.782138,6.738108374,16.448772,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,8,OK,0.652416934,10.799899,6.774877967,16.553677,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,9,OK,0.669139926,10.966464,6.838272141,16.388895,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,go,10,OK,0.678149888,11.088229,6.904451081,16.350705,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,1,OK,0.246919,3.670462,2.147119921,14.865045,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,2,OK,0.251960699,4.917224,3.362777664,19.515837,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,3,OK,0.25232078,4.846972,3.29030418,19.209563,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,4,OK,0.253612399,4.845813,3.281176666,19.107161,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,5,OK,0.251406841,4.866321,3.315291635,19.356359,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,6,OK,0.251498582,4.806079,3.254483648,19.109766,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,7,OK,0.251993771,4.840197,3.285546629,19.207606,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,8,OK,0.26380303,5.039965,3.412458587,19.105031,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,9,OK,0.250673727,4.855761,3.309254509,19.370841,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,rust,10,OK,0.251976023,4.867663,3.313122124,19.317961,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,1,OK,0.251891593,3.606619,2.052599006,14.31814,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,2,OK,0.257470169,4.794116,3.205679539,18.620083,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,3,OK,0.260826066,5.011095,3.401954668,19.212401,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,4,OK,0.255083983,4.84154,3.267824875,18.98018,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,5,OK,0.257562476,4.696582,3.107576061,18.234729,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,6,OK,0.257247067,4.748706,3.161645945,18.459709,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,7,OK,0.255980894,4.67168,3.092431473,18.250112,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,8,OK,0.258524476,4.748707,3.153766098,18.368501,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,9,OK,0.257407244,4.75542,3.167371749,18.474305,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,anagram_checker,cpp,10,OK,0.257521373,4.73302,3.144267641,18.379135,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,1,OK,0.026176974,0.707091,0.545594777,27.011946,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,2,OK,0.026641169,0.734312,0.569951972,27.563055,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,3,OK,0.026609908,0.687804,0.523636834,25.847665,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,4,OK,0.027100595,0.731627,0.564432589,26.996714,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,5,OK,0.026639431,0.698119,0.533769694,26.206228,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,6,OK,0.026811809,0.715208,0.549795226,26.675112,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,7,OK,0.026695443,0.726073,0.561378134,27.198387,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,8,OK,0.026776401,0.721556,0.556361672,26.94746,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,9,OK,0.026317237,0.711669,0.549307438,27.041935,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,c,10,OK,0.027225455,0.715147,0.547182278,26.267587,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,1,OK,0.084220134,1.993952,1.474364305,23.675479,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
