category,algorithm,language,time_s,energy_j,power_w,std_time_s,std_energy_j,std_power_w,n_runs,sem_time_s,sem_energy_j,sem_power_w,cv_time_pct,cv_energy_pct,platform,edp,aei,n_energy_local,n_time_local,ges_local,ges_global,rank_in_category,rank_in_algorithm,rank_in_cat_algo
floating_point,gaussian_elimination,c,0.002270514,0.1994197999999999,87.9275842,9.757545910729787e-05,0.0147197414892759,6.682752541466541,10,3.085606945156813e-05,0.004654790967499,2.11327190703131,4.297505283266164,7.381283849084157,intel,0.00045278544777719974,2208.551544465859,0.0003243943902844519,0.0001256810383940193,0.00022503771433923558,0.004111759072081994,2.0,1.0,1.0
floating_point,gaussian_elimination,cpp,0.0023922685,0.206036,86.61547759999999,0.0002310954378819,0.010240603443591,6.818875043443497,10,7.307879405808042e-05,0.0032383631496311,2.1563176217361057,9.660096175739197,4.970298124401095,intel,0.000492893432666,2028.8361210071776,0.0006050243804779729,0.00018676454968521473,0.00039589446508159383,0.004267252067272701,8.0,2.0,2.0
floating_point,gaussian_elimination,go,0.0025846643,0.2140616,82.8569354,0.0001169994551383,0.0142185188179985,4.960084526353764,10,3.6998476323597136e-05,0.004496290441884,1.5685164490235364,4.526678963236344,6.642255695556096,intel,0.00055327737552088,1807.4116966350834,0.0009454348954710336,0.0002832883826579473,0.0006143616390644905,0.004461845158939399,11.0,4.0,4.0
floating_point,gaussian_elimination,java,0.0252714743,0.6991683,27.688584100000003,0.0009659163984095,0.0202302704548846,0.9442558499854032,10,0.000305449584828,0.0063973732318646,0.2985999179892145,3.822160855924181,2.8934764998476945,intel,0.017669013724824687,56.59625463955669,0.02152151912264212,0.011665126547129933,0.01659332283488603,0.017702276740038148,13.0,5.0,5.0
floating_point,gaussian_elimination,rust,0.002558452,0.2086362,81.8169073,0.0002076763830862,0.0130636114098156,5.8338662774347,10,6.567303867781496e-05,0.004131076652238,1.8448305001541412,8.117267124269995,6.261430858985969,intel,0.0005337857031624,1873.4109851116752,0.0007153133833045474,0.0002701378270479436,0.0004927256051762454,0.004344181552677826,9.0,3.0,3.0
floating_point,matrix_multiplication,c,0.0172619553,0.5308946999999999,30.7601082,0.0002105498812696,0.0139258625190686,0.9179739481718312,10,6.658171858902234e-05,0.0044037443942626,0.2902888508920347,1.2197336721737606,2.623093151818732,intel,0.009164280580406909,109.11931288288845,0.014384096022096822,0.007646798318821788,0.011015447170459304,0.013090734652968079,12.0,4.0,4.0
floating_point,matrix_multiplication,cpp,0.002635133,0.2016779999999999,76.7639106,0.0002697626404535,0.0148127033769441,3.9163963880935264,10,8.530643714541381e-05,0.0046841880975611,1.2384732806432288,10.237154650391464,7.344729408732819,intel,0.0005314483531739998,1881.650388090662,0.0004201772632107546,0.0003086082304360742,0.00036439274682341437,0.004208021102174399,5.0,1.0,1.0
floating_point,matrix_multiplication,go,0.0027327391,0.2091424,79.22229300000001,0.0008012712233222,0.0197067733488316,11.217782432311704,10,0.0002533842089247,0.0062318289115012,3.5473742782328603,29.32117534828854,9.422658126153124,intel,0.0005715316139478401,1749.684489179042,0.0007367841521803314,0.00035757663251927894,0.0005471803923498052,0.004378133220392039,10.0,3.0,3.0
floating_point,matrix_multiplication,java,0.0315932571,0.8255597,26.1244142,0.0010142317716929,0.0826849571217965,2.4704527802118825,10,0.0003207282473857,0.0261472792738237,0.7812257637364899,3.2102792329473164,10.015624202804055,intel,0.02608211985349887,38.340441866570586,0.02688248422988568,0.014836727523227611,0.020859605876556647,0.021206915862461977,15.0,5.0,5.0
floating_point,matrix_multiplication,rust,0.0021590609,0.2072137,96.0013833,7.115983774019666e-05,0.0132698745120919,5.750222475986953,10,2.2502716518703062e-05,0.0041963027722826,1.8183800076811645,3.2958698728783737,6.403956163174499,intel,0.00044738699761433,2235.2013029713708,0.000654977214348005,6.976567845012616e-05,0.0003623714463990656,0.004260855345806089,7.0,2.0,2.0
