category,algorithm,language,run,status,time_s,energy_j,dynamic_energy_j,power_w,idle_power_w,domain,energy_path,exit_code
string_and_text_processing,anagram_checker,cpp,9,OK,0.710651396,1.850907906,0.02012778,2.604523,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,anagram_checker,cpp,10,OK,0.709893914,1.848382374,0.019553673,2.603744,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,1,OK,0.010362368,0.02806136,0.001365828,2.708007,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,2,OK,0.010504221,0.028539858,0.001478884,2.716989,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,3,OK,0.010511109,0.028691869,0.00161315,2.729671,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,4,OK,0.010462905,0.028639676,0.00168514,2.737259,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,5,OK,0.010454961,0.029432602,0.002498531,2.81518,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,6,OK,0.010517128,0.028473841,0.001379616,2.707378,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,7,OK,0.010426554,0.028294967,0.001434079,2.713741,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,8,OK,0.010398628,0.028302767,0.001513822,2.721779,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,9,OK,0.010458535,0.028778704,0.001835426,2.751696,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,rust,10,OK,0.010511961,0.028604875,0.001523961,2.721174,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,1,OK,0.013234465,0.034244185,0.000149556,2.587501,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,2,OK,0.013508484,0.036770661,0.001970105,2.722042,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,3,OK,0.013269021,0.0360993,0.001915648,2.72057,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
